"Region: PAC"
"Geographic Zones: All"
"Survey Types: Fish Only, Invertebrates Only, Fish &amp; Invertebrates"
"Dates: 1/1/93 - 1/4/21"
"Total Surveys: 42294"
"#Species Reported: 466"
"Average Species Reported on a Survey by Expert Surveyors: 23.37"
"Average Species Reported on a Survey by Novice Surveyors: 15.76"
"Survey Type: FO = Fish Only; IO = Invertebrates Only; FI = Fish &amp; Invertebrates - <a href="/interpreting-reef-data" target="_blank">How to interpret REEF data?</a>"
"Expand all"
"Collapse all"
"Click a column header to sort by that column. Hold shift and click to sort by multiple columns"
,,Surveys,,,,,,"Bottom Time"
1126,"Cracroft Island, East Cracroft Island, Minstrel Island",0,0,1,0,0,0,0:50
11260001,"Dad's Girl",0,0,1,0,0,0,0:50
113,"North of Telegraph Cove - Dillon Point",3,0,31,3,1,21,44:16
1131,"Malcolm, Cormorant, Pearse Islands",3,0,16,2,0,17,27:52
11310001,"NE Pearse",1,0,8,2,0,10,14:14
11310002,"Haddington Island",1,0,0,0,0,2,2:26
11310003,Blowhole,1,0,0,0,0,1,1:43
11310004,"Walt's Wall",0,0,5,0,0,2,6:23
11310005,"Stephenson Shadow",0,0,1,0,0,1,1:10
11310006,"Silver Lining",0,0,1,0,0,1,1:26
11310007,"Lizard Point",0,0,1,0,0,0,0:30
1132,"Swanson Island, Hanson and other Islands North of Johnstone Strait",0,0,13,0,1,3,13:19
11320001,"Stubbs Island",0,0,13,0,1,3,13:19
1134,"Lewis Point - Ledge Point (incl Port McNeill)",0,0,2,1,0,1,3:05
11340001,"Beach Camp",0,0,0,1,0,0,0:40
11340002,"Lewis Point",0,0,2,0,0,1,2:25
114,"north of Dillon Point - Gorotisa Point",6,0,269,32,4,240,435:38
114001,"Port McNeill",0,0,4,6,0,2,8:10
11400101,"Beach Camp",0,0,1,6,0,0,4:49
11400102,"War Bonnet Wall",0,0,3,0,0,2,3:21
114002,"Port Hardy",0,0,4,10,0,7,14:49
11400201,"Bear Cove",0,0,1,6,0,4,7:48
11400202,"Lou's Hole",0,0,1,1,0,0,1:29
11400203,"Outer Narrows",0,0,0,1,0,0,0:30
11400204,"Johnson's Point",0,0,0,1,0,0,0:35
11400205,"South-West Masterman Grup",0,0,0,1,0,0,0:31
11400206,"Little Masterman Island",0,0,0,0,0,1,0:39
11400207,"Five Fathom Pinnacle",0,0,2,0,0,2,3:17
1141,"Broughton Island and North Broughton Island",0,0,1,0,0,0,0:50
11410001,"Booker Lagoon Narrows",0,0,1,0,0,0,0:50
1145,"Compton Point - Blunden Harbor",0,0,1,0,0,0,0:25
114501,"Numas Islands",0,0,1,0,0,0,0:25
11450101,"Wild Ride",0,0,1,0,0,0,0:25
1146,"north of Blunden Harbor - City Pt",0,0,25,1,0,36,47:25
114601,"Walker Group",0,0,19,1,0,27,36:23
11460102,"Sussex Reefs (Redfern Island)",0,0,0,1,0,3,3:08
11460103,"Fantasy Island",0,0,13,0,0,14,22:08
11460104,"Barry Islet (Ripple Passage)",0,0,5,0,0,10,10:21
11460105,"Wet Tee",0,0,1,0,0,0,0:46
114604,"Deserters Group",0,0,6,0,0,9,11:02
11460401,"Castle Point",0,0,0,0,0,1,0:40
11460402,Toyboy,0,0,2,0,0,5,5:13
11460403,"Toyman Gap",0,0,2,0,0,0,0:59
11460404,"Race Island",0,0,1,0,0,3,3:25
11460405,"Castle Gap",0,0,1,0,0,0,0:45
1148,"Seymour Inlet",0,0,4,1,0,0,3:07
114801,"Nakwakto Rapids",0,0,4,1,0,0,3:07
11480101,"Turret Rock",0,0,4,1,0,0,3:07
1149,"Nigei Island and Balaklava Island and Hurst Island",6,0,230,14,4,195,360:52
114901,"Bell Island",0,0,0,1,0,1,1:25
114903,"Gordon Islands",0,0,0,0,1,4,3:07
11490301,"Doyle Island (w. of Gordon Isl)",0,0,0,0,1,3,2:23
114904,"Duncan Island",0,0,0,0,0,3,2:11
11490401,"Mouat Rock",0,0,0,0,0,3,2:11
114905,"Hurst Island",0,0,11,0,0,12,18:55
11490501,"Hurst - Bell",0,0,0,0,0,2,1:29
11490502,"God's Pocket Resort Dock",0,0,6,0,0,8,11:11
11490503,"George Rock (Christie Passage)",0,0,4,0,0,2,5:17
11490504,"Big Wind",0,0,1,0,0,0,0:58
114906,"Balaklava Island",0,0,2,2,0,6,7:13
11490601,"SS Themis",0,0,2,2,0,6,7:13
114907,"Nigei Island",6,0,217,11,3,169,328:01
11490701,"Port Alexander Wall",0,0,0,1,0,4,3:13
11490702,"Clam Cove",0,0,6,0,0,1,4:30
11490703,"Hussar Point",1,0,29,4,1,23,48:34
11490704,"Snowball / Buttertart / Rock of Life",0,0,19,2,0,15,30:00
11490705,"Shadwell Passage",0,0,0,0,0,2,0:39
11490706,"Bonzai Pt. (NE Browning Passage)",0,0,1,0,0,7,5:57
11490707,"Browning Wall",4,0,40,4,2,32,64:37
11490708,"Seven Tree Island",0,0,32,0,0,20,42:27
11490709,"Lucan Shute",0,0,3,0,0,8,9:25
11490710,"Frank's Rock",0,0,8,0,0,5,9:24
11490711,"Triple Rock / Fishbowl / Rainbow Reef / Ruth's Rocks",0,0,9,0,0,11,17:13
11490712,"Noname Wall (NE Browning Passage)",0,0,0,0,0,3,2:14
11490714,"Snowfall (Browning Passage)",1,0,16,0,0,12,24:29
11490715,"Hunt Rock (Gordon Channel)",0,0,9,0,0,4,8:11
11490716,"Eagle Rock - Browning Pass",0,0,7,0,0,1,5:42
11490717,"Hideaway Wall (North End)",0,0,2,0,0,0,1:19
11490718,"Suwanee Reef",0,0,0,0,0,1,0:50
11490719,"Aquarium (Browning Pass)",0,0,9,0,0,4,10:12
11490720,"North Wall / Northwest Passage Wall",0,0,14,0,0,7,18:41
11490721,"Hussar Bay / Hoodie-Nudi Bay",0,0,10,0,0,7,15:56
11490722,Landslide,0,0,3,0,0,2,4:28
115,"n.of Gorotisa Pt - Frederiksen Pt",2,0,2,2,0,13,15:20
1151,"Shushartie Bay",2,0,2,2,0,13,15:20
11510001,"Dillon Rock",2,0,2,2,0,12,14:29
11510002,"Shushartie Bay Pilings",0,0,0,0,0,1,0:51
12,"WESTERN VANCOUVER ISLAND (Fredericksen Pt - Cape Beale)",11,1,593,236,14,330,906:11
1205,"s. of Tatchu Pt. - Bajo Pt. (Nootka Isl)",0,0,2,0,0,0,1:33
120502,"Esperanza Inlet",0,0,1,0,0,0,0:50
12050201,"Garden Point - Esperanza Inlet",0,0,1,0,0,0,0:50
120503,"Espinosa Inlet",0,0,1,0,0,0,0:43
12050301,"The Gardens - Espinoza Inlet",0,0,1,0,0,0,0:43
1206,"s. of Bajo Pt. - Estevan Pt.",0,0,56,0,1,12,56:34
120604,"Tahsis Inlet",0,0,56,0,1,12,56:34
12060401,"Mozino Point",0,0,23,0,0,4,21:49
12060402,"Boulder Alley",0,0,11,0,0,1,10:34
12060403,"Shark Point",0,0,13,0,0,3,14:06
12060404,"The Zoo",0,0,4,0,0,0,3:19
12060405,"Maquinna Resort Dock",0,0,1,0,1,0,1:00
12060406,"Tahsis Government Dock / Public Dock",0,0,2,0,0,3,3:15
12060407,"Bull of the Woods",0,0,1,0,0,1,1:50
12060408,"McBride Bay",0,0,1,0,0,0,0:41
1209,"Ucluelet - Cape Beale",11,1,535,236,13,318,848:04
12090007,"Hong Kong Express Wreck (Barclay Sound)",0,0,5,0,0,2,4:04
120901,"Ucluelet Inlet",0,0,0,1,0,11,8:31
12090101,"Eagle Rock (near Ucluelet)",0,0,0,0,0,8,5:55
12090102,"Food Island (Stewart Bay, Ucluelet Brit Col.)",0,0,0,0,0,1,0:36
12090103,"Buoy Y46 (Stewart Bay, Ucluelet)",0,0,0,0,0,2,1:15
12090104,"Janson Island",0,0,0,1,0,0,0:45
120902,"Loudoun Channel",0,0,0,2,0,0,1:07
12090201,"Beg Island",0,0,0,1,0,0,0:42
12090202,"Sykes Reef (Chrow Isle)",0,0,0,1,0,0,0:25
120906,"Imperial Eagle Channel",1,0,136,6,2,103,185:41
12090601,"Kyen Point",0,0,55,6,1,43,79:31
12090602,"Mahk Reef",0,0,17,0,1,21,29:55
12090603,"Bull Rocks",0,0,2,0,0,1,2:34
12090604,"Renate's Reef",1,0,56,0,0,36,68:12
12090605,"Baeria Rocks Provincial Reserve - North Islet",0,0,0,0,0,1,0:45
12090606,"Baeria Rocks Provincial Reserve - South Islet",0,0,0,0,0,1,0:45
12090607,"Janit Reef",0,0,1,0,0,0,0:35
12090608,"Hornby Rock",0,0,2,0,0,0,1:20
12090609,"Folger's Pinnacle",0,0,3,0,0,0,2:04
120907,"Deer Group Islands",1,0,57,10,2,22,67:27
12090701,"Ohiat Island",0,0,23,3,0,8,25:21
12090702,"Blackfish Rocks (Helby Isl)",1,0,4,2,2,2,4:51
12090703,"Cia Rocks (Diana Isl)",0,0,0,1,0,0,0:36
12090704,"Wizard Rocks",0,0,1,0,0,1,2:00
12090705,"Edward King Island Site 1",0,0,1,1,0,0,1:16
12090706,"Sanford Reef",0,0,1,0,0,5,4:03
12090707,"Satellite Reef (Barkley Sound)",0,0,0,0,0,2,1:25
12090708,"Helby Island",0,0,0,1,0,0,1:10
12090709,"Fleming Island 1",0,0,0,1,0,0,0:19
12090710,"Fleming Island 2",0,0,0,1,0,0,0:47
12090711,"Christie Reef",0,0,5,0,0,0,3:44
12090712,"Robbers Passage",0,0,5,0,0,4,8:11
12090713,"Adamson's Arch",0,0,5,0,0,0,3:43
12090714,"Don's Peak",0,0,1,0,0,0,0:43
12090715,"South Fleming Rocks",0,0,1,0,0,0,0:58
12090716,"Banana Reef",0,0,2,0,0,0,1:38
12090717,"Robber's Reef",0,0,5,0,0,0,4:13
12090718,"Self Point (Helby Island)",0,0,1,0,0,0,0:44
12090719,"Dodger's Point (Seppings Island)",0,0,1,0,0,0,0:52
12090720,"Kirby Reef (N. Seppings Island)",0,0,1,0,0,0,0:53
120908,"Trevor Channel",1,0,34,10,6,27,53:39
12090801,"Sea Pool Rocks",0,0,2,0,0,5,4:31
12090802,"Scott's Bay (s. of Bamfield Inlet)",0,0,1,3,2,3,6:11
12090803,"Brady's Beach East",0,0,0,0,0,4,4:20
12090805,"Aguilar Point",0,0,3,0,0,0,2:10
12090806,"Dixon Point W of Bamfield Inlet",0,0,1,0,0,1,1:14
12090807,"Goby Town East (mouth of Bamfield Inlet)",1,0,7,0,1,1,6:15
12090808,"BMSC N Dock (Bamfield Marine Science Centre)",0,0,0,4,3,3,3:55
12090809,"Mutine Reef",0,0,0,0,0,1,0:44
12090810,"Barnacle Bash",0,0,3,0,0,5,5:56
12090811,"Danvers Island",0,0,0,1,0,0,0:42
12090812,"Keeshan Point",0,0,0,1,0,0,0:32
12090813,"Dixon Island",0,0,0,1,0,2,1:50
12090814,"Wayne's World",0,0,2,0,0,1,2:12
12090815,"Hosie Islets",0,0,0,0,0,1,0:39
12090816,"Nanat Island Wall",0,0,11,0,0,0,8:56
12090817,"Execution Rock",0,0,3,0,0,0,2:38
12090818,"Pisaster Rock ",0,0,1,0,0,0,0:54
120909,"Tzartus, Diplock, Meade Islands",0,1,122,2,0,77,155:57
12090901,"Diplock Isl",0,0,26,0,0,12,26:23
12090902,"Tyler Rock",0,0,39,1,0,22,47:07
12090903,"Stud Islets",0,0,1,0,0,9,9:36
12090904,"Rendezvous House Reef (SW of dock) ",0,1,50,1,0,27,61:41
12090905,"Tealia Terrace (Rendezvous House Reef North of dock)",0,0,4,0,0,7,9:34
12090907,"Plan B (off NW Tzartus Island)",0,0,1,0,0,0,0:45
12090908,"Meade Island Fingers",0,0,1,0,0,0,0:51
120910,"Seddall Island",0,0,152,4,0,60,165:50
12091001,"Pill Point Wall",0,0,24,0,0,9,24:59
12091002,"Chup Point (Barkley Sound)",0,0,55,0,0,23,61:36
12091003,"Friend Island Rocks (Barkley Sound)",0,0,0,0,0,1,0:30
12091004,"Twin Peaks (Barkley Sound)",0,0,10,1,0,11,14:39
12091005,"Hook Point (Barkley Sound)",0,0,2,0,0,1,2:18
12091006,"Crosse Point (Barkley Sound)",0,0,1,0,0,1,1:08
12091008,"Lacoabalone Alley (Barkley Sound)",0,0,4,0,0,0,3:29
12091009,"Seddall Island Wall",0,0,41,0,0,11,40:22
12091010,"Weibe Rock (Barkley Sound)",0,0,0,0,0,2,1:48
12091011,"Bay Near Chupp Point",0,0,0,1,0,1,1:30
12091012,"Boyson Islet",0,0,0,2,0,0,1:34
12091013,"Urchin Bay",0,0,3,0,0,0,2:30
12091014,"The Point / Riley's Reef",0,0,5,0,0,0,3:57
12091015,"Jingle Rock",0,0,1,0,0,0,0:38
12091016,"Shark Alley",0,0,1,0,0,0,0:35
12091017,"Pill Point Light",0,0,1,0,0,0,0:39
12091018,"Plumose Castle",0,0,4,0,0,0,3:38
120911,"Alberni Inlet",0,0,16,3,2,5,26:17
12091101,"China Creek",0,0,9,3,2,5,19:57
12091102,"China Creek Ship Wreck",0,0,7,0,0,0,6:20
12092,"Broken Group Islands (Barkley Sound)",8,0,13,198,1,11,179:31
120921,"Brabant, Hand, Pinkerton Isls.",1,0,0,37,0,1,31:10
12092101,"Hand 1",0,0,0,26,0,1,21:07
12092102,"Hand 2",0,0,0,2,0,0,1:19
12092103,"Brabant Light",1,0,0,9,0,0,8:44
120922,"Prideaux, Nettle, Reek Isls.",0,0,4,53,1,1,46:32
12092201,"Prideaux Isl.",0,0,0,42,1,1,35:30
12092202,"Nettle Isl.",0,0,0,1,0,0,0:53
12092204,"Rocky Islet (btw Gibraltar & Nettle Isls.)",0,0,0,3,0,0,2:12
12092205,"Hank's Point",0,0,0,1,0,0,0:49
12092206,"Hank's Point East (btw Nettle Isl & Green Rocks)",0,0,0,6,0,0,4:14
12092207,"Jen Jewell (North of Prideaux Island)",0,0,4,0,0,0,2:54
120923,"Jarvis, Jacques, Gibraltar, Dempster Isls.",2,0,1,35,0,0,25:43
12092301,"Sitka Cabin",0,0,0,1,0,0,0:33
12092302,"Reef off Dempster Isl.",0,0,0,4,0,0,2:40
12092303,"Onion Isl.",1,0,0,17,0,0,13:24
12092304,"Tip of Jarvis Isl.",0,0,0,2,0,0,2:00
12092305,"Island Harbor (south of Jaques Is.)",1,0,0,11,0,0,6:36
12092306,"Barnacle Garden",0,0,1,0,0,0,0:30
120924,"Dodd, Willis, Turtle & surrounding Isls.",0,0,0,15,0,0,13:25
12092401,"Reef btw Mullins & Turtle Isls.",0,0,0,7,0,0,5:57
12092402,"Turtle Isl.",0,0,0,6,0,0,5:54
12092403,"Reef off Hankin Isl.",0,0,0,1,0,0,0:40
12092404,"Willis Island",0,0,0,1,0,0,0:54
120925,"Turret, Lovett, & surrounding Isls.",2,0,2,17,0,2,15:44
12092501,"Thiepval Channel",0,0,0,3,0,2,3:43
12092502,"Reef off Turret Isl.",0,0,0,4,0,0,3:06
12092503,"Turret SW",0,0,0,3,0,0,2:32
12092504,"Turret Island South",2,0,0,7,0,0,4:27
12092505,"Wreck of the Thiepval",0,0,2,0,0,0,1:56
120927,"Cooper, Batley, Wouwer, Cambian Isls.",0,0,0,0,0,1,1:00
12092701,"Wouwer Island, South side",0,0,0,0,0,1,1:00
120928,"Effinham, Gilbert, Bauk, Austin Isls.",2,0,1,23,0,2,21:44
12092801,"Effingham Bay",2,0,0,23,0,2,20:46
12092802,Aquasoc,0,0,1,0,0,0,0:58
120929,"Howell, Dicebox, Cree Isls.",1,0,5,18,0,4,24:13
12092901,"Dicebox Isl.",1,0,0,18,0,4,20:15
12092902,"Pinnacle Rock",0,0,1,0,0,0,0:49
12092903,"Wreck of the Vanlene",0,0,3,0,0,0,2:30
12092904,"Eagle's Landing Pinnacle",0,0,1,0,0,0,0:39
13,"STRAIT OF GEORGIA",33,5,2283,438,35,1820,3790:50
131,"Upper Strait",0,0,10,5,1,15,23:35
1311,"Hernando Island and Savary Island",0,0,0,0,0,1,0:37
13110003,"Milenatch Island Site 3",0,0,0,0,0,1,0:37
1312,"Cape Mudge - Cape Lazo",0,0,1,1,1,1,2:08
13120001,"Singing Sands",0,0,1,1,1,1,2:08
1313,"Sarah Point - Greif Point",0,0,4,3,0,13,16:21
131307,"S.Atrevida - N Powell River",0,0,0,0,0,2,1:03
13130701,"Wreck of the Capilano",0,0,0,0,0,2,1:03
131308,"Powell River",0,0,4,2,0,11,14:32
13130801,"Malahat Wreck",0,0,2,2,0,5,8:46
13130802,"Atrevida Reef",0,0,0,0,0,1,0:32
13130803,"Mystery Reef",0,0,0,0,0,1,0:45
13130804,"Wreck of the Adventurer",0,0,0,0,0,2,1:44
13130805,"YOGN 82 Barge (Powell River)",0,0,2,0,0,2,2:45
131310,"Harwood Island",0,0,0,1,0,0,0:46
13131001,"Wreck of Shamrock (Vivian Island)",0,0,0,1,0,0,0:46
1314,"Desolation Sound",0,0,5,1,0,0,4:29
131401,"Okeover Inlet",0,0,5,1,0,0,4:29
13140101,"Okeover Gov't Dock & Breakwater",0,0,4,1,0,0,3:47
13140102,"Okeover Bluffs",0,0,1,0,0,0,0:42
132,"S. Cape Lazo - Qualicum Beach",1,0,296,8,0,468,619:56
1321,"Lasqueti Island",0,0,2,5,0,1,6:27
13210001,"Sheer Island North",0,0,0,1,0,0,0:45
13210002,"Circle Islet",0,0,0,1,0,0,0:47
13210003,"Bull Island Wall",0,0,0,1,0,0,0:49
13210004,"Sleeping Seal Point",0,0,0,2,0,0,1:12
13210005,"Spring Bay",0,0,2,0,0,1,2:54
1322,"Denman Island",0,0,74,1,0,70,136:18
13220001,"Chrome Island",0,0,2,1,0,2,3:45
13220002,"Eagle Rock - Denman Island",0,0,6,0,0,25,22:43
13220003,"Dinner Plate - Denman Island",0,0,34,0,0,26,58:48
13220004,"Wolf eel Alley",0,0,0,0,0,1,0:39
13220005,"Repulse Point",0,0,22,0,0,15,38:11
13220006,"Boyle Point Boulder Field",0,0,10,0,0,1,12:12
1323,"Hornby Island",1,0,220,2,0,397,477:11
13230001,"Ford Cove Reef (outside harbour near store)",1,0,24,1,0,139,98:53
13230002,"Flora Islets East / Float #2",0,0,26,0,0,25,41:57
13230003,"Flora Islets West / Float #1",0,0,4,0,0,12,12:08
13230004,"Norris Rocks North",0,0,13,0,0,29,34:54
13230005,"Toby Islet",0,0,40,0,0,30,60:25
13230006,"Maude Reef",0,0,11,0,0,12,18:03
13230007,"Nash Bank",0,0,32,0,0,63,78:11
13230008,"Rock City Reef / 2 Fathom Rock",0,0,2,0,0,0,1:58
13230009,"Barney's Reef",0,0,17,0,0,10,24:19
13230010,"Norris Rocks South",0,0,14,0,0,20,28:47
13230011,"Flora's Backside",0,0,8,0,0,6,10:47
13230012,"Maude Reef Kelp Plantation",0,0,12,0,0,13,21:57
13230013,"Norris Rocks East",0,0,0,1,0,8,6:57
13230015,"Flora Islets Float #1.5",0,0,7,0,0,23,24:06
13230016,"Savoie Reef",0,0,0,0,0,1,0:37
13230017,"Reef west of Downes Point",0,0,0,0,0,1,0:47
13230018,"Downes Point South",0,0,0,0,0,1,0:30
13230020,"Flora Islets #3",0,0,10,0,0,4,11:55
133,"S. Qualicum Beach - Nanaimo",21,4,194,46,11,160,399:07
133001,"Nanaimo Bay",1,0,33,10,0,39,57:28
13300101,"Saskatchewan Wreck",0,0,10,6,0,12,16:26
13300102,"Dodd Narrows",0,0,0,1,0,3,2:30
13300103,"Cape Breton Wreck",0,0,9,1,0,13,13:52
13300104,"Four Fathom Reef",0,0,1,2,0,1,2:37
13300105,"Keel Cove",1,0,0,0,0,3,4:17
13300106,"Rivtow Lion (Depature Bay, Nanaimo)",0,0,13,0,0,7,17:46
1332,"Blunden Point - Hammond Bay",1,0,4,2,1,10,17:15
13320001,"Neck Point",0,0,1,2,1,6,9:21
13320002,"Finn Beach",1,0,3,0,0,4,7:54
1334,"Wallis Point - Dorcas Point and islands",5,2,99,16,5,54,177:19
13340001,"Seducer's Beach",0,0,0,2,0,0,2:03
13340002,"Amelia Island Southwest",0,0,0,1,0,0,0:50
13340003,"Dolphin Beach",2,0,10,5,1,9,27:32
13340004,"Tyee Cove / Blueback Community Park",1,1,77,6,3,38,119:06
13340005,"Abandonment Pinnacle (btw Ada & Southey Isls)",0,0,0,0,0,1,0:34
13340006,"Rudder Rock (Winchelsea Isl)",0,0,0,0,0,1,0:46
13340007,"Oak Leaf / Es-hw Sme~nts Park",2,1,12,2,1,5,26:28
1335,"Dorcas Point N  - Madrona Point (Northwest Bay)",14,2,58,18,5,57,147:05
13350001,"Madrona Point (Main/Big Wall)",3,0,51,2,3,44,89:27
13350002,"Cottam Point",1,0,0,2,0,1,3:56
13350003,"The Jib",2,0,2,3,0,4,12:04
13350004,"Wall Beach",3,0,2,5,0,3,14:33
13350005,"Beachcomber Park",1,1,0,2,1,2,8:21
13350006,"Madrona Point (Small/Little Wall)",3,1,3,4,1,2,16:19
13350007,"Madrona Beach / The Maze (sand/rock area before wall)",1,0,0,0,0,1,2:25
134,"S. Nanaimo - Victoria",2,0,1320,43,4,345,1442:27
1341,"Gulf Islands",0,0,249,22,2,108,292:15
134101,"Gabriola Island",0,0,55,3,2,45,75:15
13410101,"Orlebar Point",0,0,1,1,0,2,3:09
13410102,"Dodd Narrows (Between VI and Mudge Island)",0,0,6,0,0,4,6:49
13410103,"Gabriola Passage",0,0,5,0,2,8,10:12
13410104,"West Snake Island",0,0,11,0,0,9,17:24
13410105,"Law Point",0,0,2,0,0,8,5:37
13410106,"Breakwater Island",0,0,2,0,0,2,2:57
13410107,"North Snake Island",0,0,0,2,0,3,3:31
13410108,"Acorn Reef",0,0,0,0,0,1,0:45
13410109,"Carlos Island",0,0,1,0,0,1,1:31
13410110,"Gabriola Bluffs",0,0,2,0,0,1,2:08
13410111,"Xihwa Reef Boeing 737 Chemainus",0,0,24,0,0,6,20:24
13410112,"Round Island Pinnacle",0,0,1,0,0,0,0:48
134102,"Valdes Island",0,0,3,0,0,0,2:00
13410202,"Hole-in-the-Wall  Valdes Island",0,0,1,0,0,0,0:47
13410203,"Five Finger Pinnacle",0,0,1,0,0,0,0:41
13410204,"Vernaci Point",0,0,1,0,0,0,0:32
134103,"Galiano Island",0,0,36,2,0,12,38:18
13410301,"Trincomali Channel",0,0,0,2,0,0,1:00
13410302,"Bold Bluff Point",0,0,0,0,0,1,0:40
13410303,"Linklater Road",0,0,0,0,0,1,0:55
13410304,"Mathews Point Active Pass",0,0,4,0,0,1,4:03
13410305,"Race Point Porlier Pass",0,0,1,0,0,1,1:07
13410306,"Dionisio Point Reef",0,0,3,0,0,0,2:15
13410307,"Octopus Wall Porlier Pass",0,0,0,0,0,2,1:10
13410308,"Alcala Wall Porlier Pass",0,0,4,0,0,2,4:25
13410309,"Spanish Hills Wall (Galiano Island)",0,0,3,0,0,2,3:19
13410310,"Madrona Lodge",0,0,2,0,0,0,1:42
13410311,"Ballingall Islets (off Galiano Island)",0,0,0,0,0,1,0:39
13410312,"Boscowitz Rock, Porlier Pass",0,0,3,0,0,1,2:39
13410313,"Bayne's Point - Porlier Pass",0,0,3,0,0,0,3:05
13410314,"Collinson Point - Active Pass Galiano Island)",0,0,3,0,0,0,2:29
13410315,"Virago Pt Wall (Porlier Pass)",0,0,3,0,0,0,2:31
13410316,"Conservancy Cove - Galiano",0,0,1,0,0,0,0:49
13410317,"Retreat Island (Galiano Trincomali)",0,0,5,0,0,0,4:57
134104,"Thetis/Kuper (Penelakut) Islands",0,0,78,0,0,4,66:53
13410401,"Escape Reef",0,0,7,0,0,2,8:12
13410402,"North Reef",0,0,28,0,0,1,22:26
13410403,"Hall Island West (between Kuper / Penelakut and Galiano)",0,0,1,0,0,0,0:38
13410404,"Ragged Island Reef",0,0,1,0,0,0,0:43
13410405,"North Cove Reef ",0,0,1,0,0,0,0:46
13410406,"Tent Island Wall",0,0,4,0,0,1,4:54
13410407,"Tent Island Rocks",0,0,2,0,0,0,1:37
13410408,"Mowgli Island",0,0,1,0,0,0,0:44
13410409,"Hall Island South",0,0,3,0,0,0,2:16
13410410,"Escape Ridge",0,0,7,0,0,0,5:54
13410411,"North Secretary Island NE",0,0,1,0,0,0,0:52
13410412,"Active Point (Penelakut Island)",0,0,21,0,0,0,16:46
13410413,"Hudson Island Reef North",0,0,1,0,0,0,1:05
134105,"Mayne Island",0,0,2,3,0,0,3:38
13410501,"Enterprise Reef",0,0,0,3,0,0,2:07
13410502,"Mayne RCA (Rockfish Conservation Area)",0,0,2,0,0,0,1:31
134106,"Saturna Island",0,0,0,0,0,2,1:18
