42030242,"Big Geiger Reef",0,0,3,0,0,7,8:26
42030243,"Arrow Point",0,0,4,3,0,2,7:09
42030244,"Cape Cortes / Cape of Cortez",0,0,4,3,0,3,7:55
42030245,"Iron Bound Cove",0,0,1,1,0,2,3:28
42030246,"Johnson's Rocks",0,0,2,5,0,1,6:32
42030247,"Old Rock Quarry",5,0,13,3,0,9,22:32
42030248,"Can Dump",0,0,0,0,0,1,0:52
42030249,"Old Crane / Crane Point",0,0,0,15,0,3,15:12
42030250,"Empire Beach",0,0,0,0,0,1,0:50
42030251,"Black Rock",0,0,4,0,0,2,5:03
42030252,"Deadmans (Catalina) / Schaefer's",0,0,0,0,0,3,3:09
42030253,"Rusty Pipes",0,0,0,0,0,1,0:53
42030254,"Fraggle Rock",0,0,0,0,0,1,1:06
42030255,Krolls,0,0,4,0,0,12,11:53
42030256,"Nooks and Crannies",0,0,0,0,0,1,1:04
42030257,"Little Farnsworth",0,0,2,0,0,2,2:31
42030258,"Garibaldi Reef",0,0,2,0,0,0,1:28
42030259,"Cactus Cove",0,0,2,0,0,0,1:56
42030260,"West Point / West End",0,0,4,0,0,3,5:05
42030261,"Lulu Reef",0,0,4,0,0,0,3:59
42030262,"Stony Point",0,0,2,0,0,0,1:56
42030263,"Foul Point",0,0,2,0,0,0,1:56
42030264,Starlight,0,0,6,7,0,0,10:31
42030265,"Reflector Cove",0,0,8,0,0,1,9:09
42030266,"Valiant Shipwreck",0,0,1,0,0,1,1:03
42030267,"Intake Pipes",2,0,0,7,0,0,6:26
42030268,"Chalk Cliff Cove",1,0,0,0,0,0,0:50
42030269,"Pedestal Rock",0,0,1,0,0,1,1:12
42030271,"Whale Rock",0,0,1,0,0,0,0:53
42030273,Pumpernickel,1,0,0,3,0,0,3:00
42030274,"Miracle Pinnacle",0,0,0,1,0,0,0:58
42030275,"East of Stuart Cove",0,0,0,1,0,0,1:01
42030276,"Emerald Point",0,0,0,0,0,1,0:52
42030277,"Tasty Rock",0,0,0,0,0,1,0:41
420303,"San Nicholas",0,0,0,1,0,0,0:20
420304,"San Clemente Island",13,0,71,80,0,65,183:51
42030401,"Pyramid Head",1,0,4,6,0,0,8:28
42030402,"Pyramid Point",1,0,0,2,0,0,1:39
42030403,"Pyramid Cove",3,0,4,3,0,0,7:40
42030404,"Window Pane",0,0,1,10,0,2,13:58
42030405,Blockhouse,0,0,0,6,0,0,4:54
42030406,"Little Window",0,0,0,1,0,0,0:25
42030407,"Castle Rock",0,0,0,1,0,0,0:30
42030408,"East of Middle Light",0,0,0,1,0,0,0:45
42030409,"Little Flower",0,0,5,8,0,4,13:06
42030410,"Fish Hook",1,0,6,5,0,5,12:59
42030411,Disneyland,0,0,3,5,0,3,7:27
42030412,"Half Boilers",0,0,0,1,0,0,0:52
42030413,"Inside LCI",0,0,0,1,0,0,0:31
42030414,"Froggy Rocks",0,0,0,1,0,0,0:24
42030415,"China Point Plateau",0,0,0,2,0,3,3:41
42030416,"Calico Cove",0,0,0,4,0,1,4:37
42030417,Arrowhead,0,0,1,6,0,1,6:43
42030418,"Bat Ray City",0,0,3,1,0,0,3:03
42030419,"Proud Bird",0,0,0,2,0,0,1:32
42030420,"Northwest Harbor",0,0,5,0,0,2,7:46
42030421,"Wilson Cove",0,0,1,0,0,0,1:00
42030422,"West Cove",0,0,0,0,0,2,4:05
42030423,"Wilson Cove Pier",0,0,1,0,0,0,0:55
42030424,"Wilson Cove Pier South",1,0,0,0,0,0,0:45
42030425,"South Wilson Cove",1,0,0,0,0,0,0:58
42030426,"Dune Point San Clemente Island",0,0,2,0,0,3,3:36
42030427,"Nosc Pier South",0,0,1,0,0,0,0:45
42030428,"Nosc Pier North",0,0,1,0,0,0,0:55
42030429,"Bill's Big Hairy Crack",0,0,1,0,0,2,1:52
42030430,"East Wall #2",0,0,1,0,0,3,2:34
42030431,"East Wall #1 / East End Wall / East of Bliss",0,0,1,2,0,4,5:09
42030432,Sunpoint,0,0,1,0,0,0,0:48
42030433,"Petter's Rock",0,0,1,2,0,0,2:22
42030434,"The Garage",0,0,3,0,0,1,3:06
42030435,"Twin Peaks (East Side)",0,0,1,1,0,2,2:43
42030436,"Twin Peaks (West Side)",0,0,3,1,0,0,3:06
42030437,"Neptune's Wall",0,0,3,0,0,2,3:59
42030438,"Octopus Garden",0,0,0,1,0,3,3:25
42030439,"Little Arch / Pyramid Arch",0,0,2,0,0,2,3:22
42030440,"Arch Pinnacle",0,0,1,0,0,3,2:51
42030441,"Cliffs of Insanity",0,0,2,0,0,1,2:33
42030442,"Danny's Dive Inn / Sun Point Amphitheater / Caverns",0,0,0,0,0,5,3:26
42030443,"Mosquito Wall",0,0,2,2,0,1,5:11
42030444,"Perry's Cave",0,0,1,0,0,0,0:41
42030445,"Black Caverns",0,0,2,0,0,0,1:48
42030446,"Two Caves",0,0,1,0,0,0,0:51
42030447,"Scream Wall",0,0,0,0,0,2,1:16
42030448,"Little Finger Wall",0,0,2,0,0,1,2:29
42030450,"Inside Boiler ",0,0,4,0,0,0,3:27
42030451,"Inside Boiler 2",0,0,1,0,0,0,1:02
42030452,"West Disneyland",0,0,0,0,0,2,1:35
42030453,"Bat Ray Cove",2,0,0,0,0,0,2:10
42030454,"Soupfin Reef",0,0,0,1,0,0,0:42
42030455,"Runway Point ",0,0,0,0,0,2,1:17
42030456,"Runway South",0,0,0,0,0,2,1:51
42030457,Bliss,0,0,0,0,0,1,0:44
420305,"Sutil Island",0,0,0,4,1,0,3:33
42030501,"The Notch",0,0,0,4,0,0,3:05
TOTALS,,135,0,404,854,14,519,1470:59
"Species"
"%SF = Sighting Frequency; DEN = Density Score - <a href="/interpreting-reef-data" target="_blank">How to interpret REEF data?</a>"
"Click a column header to sort by that column. Hold shift and click to sort by multiple columns"
,,,,Total,,Expert,,Novice,
Rank,"Species ID",Species,Family,SF%,DEN,SF%,DEN,SF%,DEN
1,0006,"Garibaldi, (Hypsypops rubicundus)","Damselfish, (Pomacentridae)",92,2.81,92.76,2.78,91.7,2.82
2,0127,"California Sheephead, (Semicossyphus pulcher)","Wrasse, (Labridae)",87.03,2.7,92.76,2.71,84.78,2.69
3,0005,"Blacksmith, (Chromis punctipinnis)","Damselfish, (Pomacentridae)",85.51,3.61,95.18,3.68,81.72,3.57
4,0003,"Kelp Bass, (Paralabrax clathratus)","Sea Bass, (Serranidae)",82.74,2.87,85.53,2.83,81.65,2.89
5,0128,"Senorita, (Oxyjulis californica)","Wrasse, (Labridae)",82.01,3.13,84.42,3.16,81.06,3.12
6,0443,"Giant Kelp, (Macrocystis integrifolia / pyrifera)","Algae, (Algae)",71.82,3.48,73.51,3.39,70.54,3.55
7,0036,"Opaleye, (Girella nigricans)","Sea Chub, (Kyphosidae)",70.97,2.49,75.88,2.48,69.05,2.5
8,0129,"Rock Wrasse, (Halichoeres semicinctus)","Wrasse, (Labridae)",67.52,2.63,73.65,2.59,65.11,2.65
9,0107,"Blackeye Goby, (Rhinogobiops nicholsii)","Goby, (Gobiidae)",62.81,2.58,71.06,2.44,59.58,2.64
10,0108,"Bluebanded Goby, (Lythrypnus dalli)","Goby, (Gobiidae)",61.92,3.3,69.76,3.37,58.85,3.26
11,0403,"Spiny Lobster, (Panulirus interruptus)","Arthropods, (Arthropoda)",61.05,2.35,69.06,2.34,54.97,2.36
12,0035,"Halfmoon, (Medialuna californiensis)","Sea Chub, (Kyphosidae)",54.29,2.45,72.17,2.46,47.27,2.44
13,0408,"California Golden Gorgonian, (Muricea californica)","Cnidarians, (Cnidaria)",51.23,2.34,63.37,2.32,42.03,2.36
14,0411,"Warty Sea Cucumber, (Parastichopus parvimensis)","Echinoderms, (Echinodermata)",49.95,2.26,58.17,2.12,43.71,2.41
15,0415,"Crowned Urchin, (Centrostphanus coronatus)","Echinoderms, (Echinodermata)",48.77,3.01,58.66,2.97,41.28,3.05
16,0428,"Wavy Turban Snail, (Lithopoma undosum)","Mollusks, (Mollusca)",46.74,2.34,55.94,2.16,39.77,2.52
17,0446,"Southern Sea Palm, (Eisenia arborea)","Algae, (Algae)",38.31,2.77,44.06,2.84,33.96,2.71
18,0187,"Rock Scallop, (Crassadoma gigantea)","Mollusks, (Mollusca)",38.1,2.03,46.78,1.84,31.52,2.24
19,0114,"Black Perch, (Embiotoca jacksoni)","Surfperch, (Embiotocidae)",35.77,2.1,42.12,2.01,33.28,2.14
20,0062,"Treefish, (Sebastes serriceps)","Scorpionfish, (Scorpaenidae)",35.77,1.77,44.34,1.63,32.41,1.84
21,0407,"Brown Gorgonian, (Muricea fruticosa)","Cnidarians, (Cnidaria)",35.43,2.22,39.6,2.02,32.27,2.4
22,0116,"Kelp Perch, (Brachyistius frenatus)","Surfperch, (Embiotocidae)",34.15,2.51,42.49,2.33,30.88,2.6
23,0413,"Giant Spined Star, (Pisaster giganteus)","Echinoderms, (Echinodermata)",32.55,2.03,41.34,1.96,25.89,2.11
24,0032,"Painted Greenling, (Oxylebius pictus)","Greenling, (Hexagrammidae)",30.13,2.1,32.28,2.07,29.28,2.11
25,0410,"Red Gorgonian, (Leptogorgia chilensis)","Cnidarians, (Cnidaria)",30.1,2.18,40.1,2.1,22.51,2.29
26,0416,"Purple Urchin, (Strongylocentrotus purpuratus)","Echinoderms, (Echinodermata)",27.53,2.6,29.95,2.6,25.7,2.61
27,0010,"Giant Kelpfish, (Heterostichus rostratus)","Clinid, (Clinidae)",26.83,1.52,31.73,1.5,24.91,1.53
28,0176,"Red Sea Urchin, (Mesocentrotus franciscanus)","Echinoderms, (Echinodermata)",26.79,2.69,28.71,2.59,25.33,2.79
29,0011,"Island Kelpfish, (Alloclinus holderi)","Labrisomids, (Labrisomidae)",25.58,1.99,30.61,1.86,23.6,2.06
30,0055,"Kelp Rockfish, (Sebastes atrovirens)","Scorpionfish, (Scorpaenidae)",24.37,1.99,35.06,1.92,20.17,2.04
31,0070,"California Scorpionfish, (Scorpaena guttata)","Scorpionfish, (Scorpaenidae)",23.54,1.47,33.95,1.51,19.45,1.44
32,0426,"Kellet's Whelk, (Kelletia kelletii)","Mollusks, (Mollusca)",23.16,1.93,22.28,1.82,23.83,2
33,0162,"Tube-dwelling Anemone, (Pachycerianthus fimbriatus)","Cnidarians, (Cnidaria)",21.99,1.93,31.19,1.81,15.01,2.13
34,0425,"Giant Keyhole Limpet, (Megathura crenulata)","Mollusks, (Mollusca)",21.88,1.99,28.47,1.9,16.89,2.11
35,0429,"Green Abalone, (Haliotis fulgens)","Mollusks, (Mollusca)",21.24,1.75,24.01,1.81,19.14,1.69
36,0424,"Chestnut Cowry, (Cypraea spadicea)","Mollusks, (Mollusca)",19,1.92,24.5,1.84,14.82,2.03
37,0433,"Cobalt Sponge, (Hymenamphiastra cyanocrypta)","Poriferans, (Porifera)",18.78,0.66,25,0.79,14.07,0.48
38,0161,"Strawberry Anemone, (Corynactis californica)","Cnidarians, (Cnidaria)",18.14,0.65,26.24,0.78,12.01,0.44
39,0007,"California Moray, (Gymnothorax mordax)","Moray, (Muraenidae)",16.32,1.43,26.9,1.42,12.16,1.43
40,0423,"Two-spot Octopus, (Octopus bimaculatus)","Mollusks, (Mollusca)",15.9,1.34,20.05,1.38,12.76,1.29
41,0082,"Bat Ray, (Myliobatis californica)","Eagle Ray, (Myliobatidae)",15.12,1.39,12.8,1.3,16.02,1.41
42,0434,"Orange Puffball Sponge, (Tethya aurantia)","Poriferans, (Porifera)",14.73,2.06,17.82,1.99,12.38,2.14
43,0402,"Red Rock Shrimp, (Lysmata californica)","Arthropods, (Arthropoda)",14.19,2.44,18.07,2.27,11.26,2.65
44,0445,"Oarweed, (Laminaria farlowii)","Algae, (Algae)",13.98,2.87,10.4,2.95,16.7,2.83
45,0117,"Pile Perch, (Rhacochilus vacca)","Surfperch, (Embiotocidae)",13.91,1.82,13.73,1.82,13.98,1.82
46,0099,"Ocean Whitefish, (Caulolatilus princeps)","Tilefish, (Malacanthidae)",13.18,1.96,21.34,1.9,9.98,2.01
47,0406,"Southern Staghorn Bryozoan, (Diaperoforma californica)","Bryozoans, (Bryozoa)",13.02,2.47,17.08,2.48,9.94,2.45
48,0412,"Bat Star, (Asterina miniata)","Echinoderms, (Echinodermata)",12.06,2.63,12.38,2.62,11.82,2.63
49,0169,"California Sea Cucumber, (Parastichopus californicus)","Echinoderms, (Echinodermata)",11.85,2.35,10.15,2.32,13.13,2.37
50,0418,"Red Sea Hare, (Aplysia californica)","Mollusks, (Mollusca)",11.85,1.96,13.12,1.81,10.88,2.1
51,0086,"Horn Shark, (Heterodontus francisci)","Bullhead Shark, (Heterodontidae)",11.77,1.47,12.99,1.53,11.29,1.45
52,0120,"Rubberlip Seaperch, (Rhacochilus toxotes)","Surfperch, (Embiotocidae)",11.45,1.74,11.87,1.7,11.29,1.75
53,0103,"Silversides spp., (Atherinidae spp.)","Silverside, (Atherinidae)",11.3,3.34,9.65,3.23,11.94,3.38
54,0438,"Christmas Tree Worm, (Spirobranchus spinosus)","Annelids, (Annelida)",10.78,2.22,11.14,1.98,10.51,2.41
55,0039,"Sargo, (Anisotremus davidsoni)","Grunt, (Haemulidae)",10.46,2.11,7.05,2.08,11.8,2.12
56,0112,"Zebra Goby, (Lythrypnus zebra)","Goby, (Gobiidae)",10.46,1.68,18.18,1.56,7.43,1.79
57,0421,"Spanish Shawl, (Flabellina iodinea)","Mollusks, (Mollusca)",10.35,1.91,12.13,1.82,9.01,2
58,0353,"Juvenile (YOY) Rockfish - Unidentified, (Sebastes sp.)","Scorpionfish, (Scorpaenidae)",9.68,2.47,7.98,2.16,10.34,2.56
59,0414,"Spiny Brittlestar, (Ophiothrix spiculata)","Echinoderms, (Echinodermata)",8.64,2.48,11.63,2.47,6.38,2.5
60,0166,"Orange Cup Coral, (Balanophyllia elegans)","Cnidarians, (Cnidaria)",8.54,2.78,7.67,3.16,9.19,2.53
61,0430,"Pink Abalone, (Haliotis corrugata)","Mollusks, (Mollusca)",8.11,1.66,9.9,1.53,6.75,1.81
62,0287,"Rainbow Scorpionfish, (Scorpaenodes xyris)","Scorpionfish, (Scorpaenidae)",7.48,1.7,16.51,1.75,3.93,1.61
63,0079,"Snubnose Sculpin, (Orthonopias triacis)","Sculpin, (Cottidae)",7.22,1.72,8.16,1.86,6.85,1.65
64,0069,"Cabezon, (Scorpaenichthys marmoratus)","Sculpin, (Cottidae)",7.06,1.35,6.31,1.15,7.36,1.42
65,0096,"Jack Mackerel, (Trachurus symmetricus)","Jack, (Carangidae)",6.96,3.38,10.76,3.41,5.46,3.36
66,0056,"Olive Rockfish, (Sebastes serranoides)","Scorpionfish, (Scorpaenidae)",6.64,1.87,6.86,1.95,6.55,1.83
67,0022,"C-O Sole, (Pleuronichthys coenosus)","Righteye Flounder, (Pleuronectidae)",6.59,1.24,7.24,1.15,6.34,1.28
68,0436,"Light-bulb Tunicate, (Clavelina huntsmani)","Urochordates, (Urochordata)",6.3,2.05,7.18,2,5.63,2.1
69,0401,"Masking/Sheep Crab, (Loxorthynchus crispatus (L. grandis))","Arthropods, (Arthropoda)",5.87,1.29,8.66,1.34,3.75,1.2
70,0435,"Red Volcano Sponge, (Acamus erithacus)","Poriferans, (Porifera)",5.87,1.58,3.71,1.8,7.5,1.5
71,0337,"Topsmelt, (Atherinops affinis)","Silverside, (Atherinidae)",5.86,3.4,7.05,3.42,5.39,3.39
72,0002,"Giant Sea Bass, (Stereolepis gigas)","Wreckfish, (Polyprionidae)",5.81,1.56,5.57,1.57,5.9,1.56
73,0097,"Jacksmelt, (Atherinops californiensis)","Silverside, (Atherinidae)",5.7,3.23,5.01,3.07,5.97,3.28
74,0409,"Purple Hydrocoral, (Stylaster califrnicus)","Cnidarians, (Cnidaria)",5.66,3.58,6.44,3.58,5.07,3.59
75,0046,"Black-and-Yellow Rockfish, (Sebastes chrysomelas)","Scorpionfish, (Scorpaenidae)",5.54,1.47,7.24,1.46,4.88,1.48
76,0043,"Zebraperch, (Hermosilla azurea)","Sea Chub, (Kyphosidae)",5.18,2.02,7.24,2.15,4.37,1.93
77,0001,"Barred Sand Bass, (Paralabrax nebulifer)","Sea Bass, (Serranidae)",5.02,2.13,3.53,1.84,5.61,2.19
78,0427,"Red Turban Snail, (Lithopoma gibberosum)","Mollusks, (Mollusca)",5.02,2.34,7.43,2.5,3.19,2.06
79,0053,"Gopher Rockfish, (Sebastes carnatus)","Scorpionfish, (Scorpaenidae)",4.71,1.47,5.01,1.52,4.59,1.44
80,0158,"Lacy Bryozoan, (Phidolopora pacifica)","Bryozoans, (Bryozoa)",4.16,1.97,6.93,1.89,2.06,2.18
81,0432,"Unidentified Abalone, (Haliotis sp.)","Mollusks, (Mollusca)",4.06,1.42,4.46,1.28,3.75,1.55
82,0044,"Blue Rockfish - generic ID, (Sebastes mystinus/diaconus)","Scorpionfish, (Scorpaenidae)",4.03,1.97,4.27,2.17,3.93,1.89
83,0404,"Fluted Bryozoan, (Primavelans insculpta)","Bryozoans, (Bryozoa)",3.63,2.29,4.21,2.41,3.19,2.18
84,0090,"Round Stingray, (Urolophus halleri)","Round Stingray, (Urolophidae)",3.4,1.37,4.64,1.2,2.91,1.48
85,0026,"Speckled Sanddab, (Citharichthys stigmaeus)","Lefteye Flounder, (Bothidae)",3.35,1.67,3.34,1.61,3.35,1.7
86,0021,"California Halibut, (Paralichthys californicus)","Lefteye Flounder, (Bothidae)",3.19,1.34,1.11,1.83,4.01,1.29
87,0422,"Red Octopus, (Octopus rubescens)","Mollusks, (Mollusca)",2.88,1.37,3.47,1.5,2.44,1.23
88,0048,"Brown Rockfish, (Sebastes auriculatus)","Scorpionfish, (Scorpaenidae)",2.82,1.54,2.04,1.18,3.13,1.63
89,0417,"White Urchin, (Lytechinus anamesus)","Echinoderms, (Echinodermata)",2.77,1.73,2.23,1.78,3.19,1.71
90,0087,"Leopard Shark, (Triakis semifasciata)","Requiem Shark, (Carcharhinidae)",2.67,1.71,1.86,1.2,2.99,1.83
91,0030,"Lingcod, (Ophiodon elongatus)","Greenling, (Hexagrammidae)",2.56,1.35,3.15,1.35,2.33,1.34
92,0123,"Striped Seaperch, (Embiotoca lateralis)","Surfperch, (Embiotocidae)",2.56,1.9,2.6,1.57,2.55,2.03
93,0100,"Pacific Barracuda, (Sphyraena argentea)","Barracuda, (Sphyraenidae)",2.51,2.08,4.64,2.16,1.68,2
94,0118,"Rainbow Seaperch, (Hypsurus caryi)","Surfperch, (Embiotocidae)",2.51,1.88,1.3,2.14,2.99,1.83
95,0054,"Grass Rockfish, (Sebastes rastrelliger)","Scorpionfish, (Scorpaenidae)",2.46,1.28,4.45,1.13,1.68,1.43
96,0440,"Feather Duster Worm (E. polymorpha), (Eudistylia polymorpha)","Annelids, (Annelida)",2.45,1.87,4.21,2,1.13,1.5
97,0171,"Leather Star, (Dermasterias imbricata)","Echinoderms, (Echinodermata)",2.35,2.32,0.5,3.5,3.75,2.2
98,0178,"Opalescent Nudibranch, (Hermissenda crassicornis / opalescens)","Mollusks, (Mollusca)",2.24,1.52,1.73,1.43,2.63,1.57
99,0088,"Angel Shark, (Squatina californica)","Angel Shark, (Squatinidae)",2.2,1.43,2.23,1.67,2.18,1.33
100,0106,"Yellowtail, (Seriola lalandi)","Jack, (Carangidae)",2.14,1.95,2.97,2.06,1.82,1.88
101,0173,"Sunflower Star, (Pycnopodia helianthoides)","Echinoderms, (Echinodermata)",2.13,1.8,2.48,1.7,1.88,1.9
102,0052,"Copper Rockfish, (Sebastes caurinus)","Scorpionfish, (Scorpaenidae)",2.04,1.54,0.37,1,2.69,1.57
103,0122,"Shiner Perch, (Cymatogaster aggregata)","Surfperch, (Embiotocidae)",2.04,2.38,1.3,2.71,2.33,2.31
104,0431,"Red Abalone, (Haliotis rufescens)","Mollusks, (Mollusca)",1.92,1.67,1.49,1.67,2.25,1.67
105,0105,"Pacific Sardine, (Sardinops sagax)","Herring, (Clupeidae)",1.88,3.81,1.3,3.71,2.11,3.83
106,0136,"Scythe Butterflyfish, (Chaetodon falcifer)","Butterflyfish, (Chaetodontidae)",1.88,1.67,1.86,1.8,1.89,1.62
107,0232,"Crevice Kelpfish, (Gibbonsia montereyensis)","Clinid, (Clinidae)",1.83,1.29,2.97,1.25,1.38,1.32
108,0029,"Kelp Greenling, (Hexagrammos decagrammus)","Greenling, (Hexagrammidae)",1.78,2,0.37,2,2.33,2
109,0081,"Unidentified Sculpin, (Cottidae spp.)","Sculpin, (Cottidae)",1.78,1.59,1.3,1.43,1.97,1.63
110,0071,"Coralline Sculpin, (Artedius corallinus)","Sculpin, (Cottidae)",1.73,1.52,1.11,1.33,1.97,1.56
111,0045,"Black Rockfish, (Sebastes melanops)","Scorpionfish, (Scorpaenidae)",1.62,1.81,0.56,1.33,2.04,1.86
112,0098,"Northern Anchovy, (Engraulis mordax)","Anchovy, (Engraulidae)",1.57,3.8,0.56,4,1.97,3.78
113,0092,"Shovelnose Guitarfish, (Rhinobatos productus)","Guitarfish, (Rhinobatidae)",1.52,1.41,0.37,1,1.97,1.44
114,0439,"Colonial Sand-tube Worm, (Phragmatopoma californica)","Annelids, (Annelida)",1.49,0.43,1.49,0.5,1.5,0.38
115,0163,"White-spotted Anemone, (Urticina sp.)","Cnidarians, (Cnidaria)",1.49,1.64,1.49,1.5,1.5,1.75
116,0420,"Sea Lemon, (Peltodoris nobilis)","Mollusks, (Mollusca)",1.39,1.46,1.73,1.71,1.13,1.17
117,0089,"Pacific Electric Ray, (Torpedo californica)","Electric Ray, (Torpedinidae)",1.36,1.19,2.04,1.09,1.09,1.27
118,0038,"Salema, (Xenistius californiensis)","Grunt, (Haemulidae)",1.36,3.04,2.23,3.33,1.02,2.79
119,0304,"Scalyhead Sculpin, (Artedius harringtoni)","Sculpin, (Cottidae)",1.2,1.52,2.6,1.57,0.66,1.44
120,0328,"Spotted Kelpfish, (Gibbonsia elegans)","Clinid, (Clinidae)",1.2,1.17,1.86,1,0.95,1.31
121,0444,"Northern Sea Palm, (Pterygophora californica)","Algae, (Algae)",1.17,2.91,0.5,3.5,1.69,2.78
122,0063,"Vermilion Rockfish, (Sebastes miniatus)","Scorpionfish, (Scorpaenidae)",1.1,1.71,0.93,1.6,1.17,1.75
123,0138,"Tubesnout, (Aulorhynchus flavidus)","Tubesnout, (Aulorhynchidae)",0.99,3.05,1.3,3.43,0.87,2.83
124,0019,"Unidentified Kelpfish, (Clinidae spp.)","Clinid, (Clinidae)",0.99,1.16,0.74,1,1.09,1.2
125,0247,"Guadalupe Cardinalfish, (Apogon guadalupensis)","Cardinalfish, (Apogonidae)",0.94,2.06,2.97,2.06,0.15,2
126,0095,"California Flyingfish, (Cypselurus californicus)","Flyingfish, (Exocoetidae)",0.84,2.13,0.37,2,1.02,2.14
127,0104,"Chub Mackerel, (Scomber japonicus)","Mackerel, (Scombridae)",0.84,3.5,0.19,3,1.09,3.53
